64996386		A.C.T.H. BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Non commercialisée	
67813445	ACARIZAX 12 SQ-HDM, lyophilisat sublingual	lyophilisat	sublinguale	Autorisation active	Procédure décentralisée	Commercialisée	0444279
61823354	ACCOFIL 12 MU/0,2 ml, solution injectable ou pour perfusion en seringue préremplie	solution injectable ou pour perfusion	intraveineuse;sous-cutanée	Autorisation active	Procédure centralisée	Commercialisée	
68056062	ACCOFIL 30 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie	solution injectable ou pour perfusion	intraveineuse;sous-cutanée	Autorisation active	Procédure centralisée	Commercialisée	
60812344	ACCOFIL 48 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie	solution injectable ou pour perfusion	intraveineuse;sous-cutanée	Autorisation active	Procédure centralisée	Commercialisée	
63909873	ACCOFIL 70 MU/0,73 ml, solution injectable ou pour perfusion en seringue préremplie	solution injectable ou pour perfusion	intraveineuse;sous-cutanée	Autorisation active	Procédure centralisée	Commercialisée	
67627711	ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration	solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration	hémodialyse;hémofiltration;voie extracorporelle autre	Autorisation active	Procédure de reconnaissance mutuelle	Commercialisée	0328529
61278936	ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration	solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration	hémodialyse;hémofiltration	Autorisation active	Procédure de reconnaissance mutuelle	Commercialisée	0328526
69430342	ACCUSOL 35, solution pour hémofiltration, hémodialyse et hémodiafiltration	solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration	hémodialyse;hémofiltration	Autorisation active	Procédure de reconnaissance mutuelle	Commercialisée	0328531
63880820	ACEBUTOLOL ALMUS 200 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure nationale	Commercialisée	0411915
66616893	ACEBUTOLOL ALTER 200 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0201461
65363736	ACEBUTOLOL ALTER 400 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0200975
63905355	ACEBUTOLOL APOTEX 200 mg, comprimé enrobé	comprimé enrobé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	
60852602	ACEBUTOLOL APOTEX FRANCE 200 mg, comprimé enrobé	comprimé enrobé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0083595
66904792	ACEBUTOLOL ARROW 200 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0412385
62096139	ACEBUTOLOL ARROW 400 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0412384
63661520	ACEBUTOLOL ARROW LAB 200 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale	Autorisation active	Procédure nationale	Commercialisée	0415079
68167148	ACEBUTOLOL ARROW LAB 400 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale	Autorisation active	Procédure nationale	Commercialisée	0415078
68071324	ACEBUTOLOL BIOGALENIQUE 200 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	
69764210	ACEBUTOLOL BIOGALENIQUE 400 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	
65637614	ACEBUTOLOL BIOGARAN 200 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure nationale	Commercialisée	0411913
60281598	ACEBUTOLOL BIOGARAN 400 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure nationale	Commercialisée	0411914
64021217	ACEBUTOLOL CRISTERS 200 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure nationale	Commercialisée	0415989
