Generic Group	Route	Type	Specialty Name	EPI	EAN13
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	LODIPINE GALENICA 10 MG COMPRIME BOITE DE 14	GALENICA	6118000191391
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	INIKAL 10 MG COMPRIME BOITE DE 30	MC PHARMA	6118000340140
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	DOLPINE 10 MG COMPRIME BOITE DE 60	PHARMIS	6118000400103
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	DOLPINE 10 MG COMPRIME BOITE DE 30	PHARMIS	6118000400097
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	DIPICOR 10 MG COMPRIME BOITE DE 60	AFRIC PHAR	6118000071143
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	DIPICOR 10 MG COMPRIME BOITE DE 30	AFRIC PHAR	6118000071136
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	CALCINIB 10 MG COMPRIME BOITE DE 28	PHI	6118000050520
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	CALCINIB 10 MG COMPRIME BOITE DE 14	PHI	6118000050513
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	ANGLOR 10 MG COMPRIME BOITE DE 30	BOTTU	6118000042020
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	AMOVAS 10 MG COMPRIME BOITE DE 30	POLYMEDIC	6118000121053
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	AMOVAS 10 MG COMPRIME BOITE DE 10	POLYMEDIC	6118000120032
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	AMEP 10 MG COMPRIME BOITE DE 28	COOPER PHARMA	6118000081784
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	AMEP 10 MG COMPRIME BOITE DE 14	COOPER PHARMA	6118000081531
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	AMCARD 10 MG COMPRIME BOITE DE 7	GENPHARMA	6118000130420
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	AMCARD 10 MG COMPRIME BOITE DE 28	GENPHARMA	6118000130444
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	AMCARD 10 MG COMPRIME BOITE DE 14	GENPHARMA	6118000130437
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	AM-10 10 MG COMPRIME BOITE DE 60	STERIPHARMA	6118000280668
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	AM-10 10 MG COMPRIME BOITE DE 30	STERIPHARMA	6118000280651
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	PIMLOR 10 MG COMPRIME BOITE DE 28	PHARMA 5	6118000096801
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	PIMLOR 10 MG COMPRIME BOITE DE 56	PHARMA 5	6118000093299
Groupe générique : AMLODIPINE // VALSARTAN 10 MG / 160 MG COMPRIME PELLICULE	ORALE	P	EXFORGE 10 MG / 160 MG COMPRIME PELLICULE BOITE DE 28	NOVARTIS PHARMA	6118001030606
Groupe générique : AMLODIPINE // VALSARTAN 10 MG / 160 MG COMPRIME PELLICULE	ORALE	G	SULIAT 10 MG / 160 MG COMPRIME PELLICULE BOITE DE 14	AFRIC PHAR	6118000072362
Groupe générique : AMLODIPINE // VALSARTAN 10 MG / 160 MG COMPRIME PELLICULE	ORALE	G	SULIAT 10 MG / 160 MG COMPRIME PELLICULE BOITE DE 28	AFRIC PHAR	6118000072379
Groupe générique : AMLODIPINE // VALSARTAN 10 MG / 160 MG COMPRIME PELLICULE	ORALE	G	SULIAT 10 MG / 160 MG COMPRIME PELLICULE BOITE DE 56	AFRIC PHAR	6118000072386
Groupe générique : AMLODIPINE // VALSARTAN 10 MG / 160 MG COMPRIME PELLICULE	ORALE	G	VALMEP 10 MG / 160 MG COMPRIMES PELLICULES BOITE DE 30	COOPER PHARMA	-
Groupe générique : AMLODIPINE // VALSARTAN 10 MG / 160 MG COMPRIME PELLICULE	ORALE	G	XILAM 10 MG / 160 MG BOITE DE 28 COMPRIME PELLICULE	SOTHEMA	6118000024361
Groupe générique : AMLODIPINE // VALSARTAN 10 MG / 160 MG COMPRIME PELLICULE	ORALE	G	LOTEVAN 10 MG / 160 MG COMPRIME PELLICULE BOITE DE 30	ZENITH PHARMA	6118001272174
"Groupe générique : AMLODIPINE // VALSARTAN // HYDROCHLOROTHIAZIDE 10 MG / 160 MG / 12,5 MG COMPRIME PELLICULE"	ORALE	G	"SULIAT HCT 10 MG / 160 MG / 12,5 MG COMPRIME PELLICULE BOITE DE 14"	AFRIC PHAR	6118000072300
"Groupe générique : AMLODIPINE // VALSARTAN // HYDROCHLOROTHIAZIDE 10 MG / 160 MG / 12,5 MG COMPRIME PELLICULE"	ORALE	G	"SULIAT HCT 10 MG / 160 MG / 12,5 MG COMPRIME PELLICULE BOITE DE 28"	AFRIC PHAR	6118000072317
"Groupe générique : AMLODIPINE // VALSARTAN // HYDROCHLOROTHIAZIDE 10 MG / 160 MG / 12,5 MG COMPRIME PELLICULE"	ORALE	G	"SULIAT HCT 160 MG / 10 MG / 12,5 MG COMPRIME PELLICULE BOITE DE 56"	AFRIC PHAR	6118000072324
Groupe générique : AMOXICILLINE 1 G / ML POUDRE POUR PREPARATION INJECTABLE	PARENTERALE	G	AXIMYCINE 1 G / ML POUDRE POUR PREPARATION INJECTABLE BOITE DE 1 FLACON ET 1 AMPOULE DE SOLVANT	LAPROPHAN	6118000030102
Groupe générique : AMOXICILLINE 1 G / ML POUDRE POUR PREPARATION INJECTABLE	PARENTERALE	G	AXIMYCINE 1 G / ML POUDRE POUR PREPARATION INJECTABLE BOITE DE 6 FLACON ET 6 AMPOULE DE SOLVANT	LAPROPHAN	6118000031185
Groupe générique : AMOXICILLINE // ACIDE CLAVULANIQUE 1 G / 125 MG COMPRIME EFFERVESCENT	ORALE	G	LEVAMOX 1 G / 125 MG COMPRIME EFFERVESCENT BOITE DE 12	LAPROPHAN	6118000032878
Groupe générique : AMOXICILLINE // ACIDE CLAVULANIQUE 1 G / 125 MG COMPRIME EFFERVESCENT	ORALE	G	LEVAMOX 1 G / 125 MG COMPRIME EFFERVESCENT BOITE DE 16	LAPROPHAN	6118000032885
Groupe générique : AMOXICILLINE // ACIDE CLAVULANIQUE 1 G / 125 MG COMPRIME EFFERVESCENT	ORALE	G	LEVAMOX 1 G / 125 MG COMPRIME EFFERVESCENT BOITE DE 24	LAPROPHAN	6118000033066
"Groupe générique : AMOXICILLINE // ACIDE CLAVULANIQUE // CINEOL 500 MG / 62,5 MG / 100 MG POUDRE POUR SUPENSION BUVABLE EN SACHET-DOSE"	ORALE	G	"OLIPEN 500 MG/62,5 MG/100 MG POUDRE POUR SUPENSION BUVABLE EN SACHET-DOSE BOITE DE 12"	SOTHEMA	6118000023715
"Groupe générique : AMOXICILLINE // ACIDE CLAVULANIQUE // CINEOL 500 MG / 62,5 MG / 100 MG POUDRE POUR SUPENSION BUVABLE EN SACHET-DOSE"	ORALE	G	"OLIPEN 500 MG/62,5 MG/100 MG POUDRE POUR SUPENSION BUVABLE EN SACHET-DOSE BOITE DE 16"	SOTHEMA	6118000023722
"Groupe générique : AMOXICILLINE // ACIDE CLAVULANIQUE // CINEOL 500 MG / 62,5 MG / 100 MG POUDRE POUR SUPENSION BUVABLE EN SACHET-DOSE"	ORALE	G	"OLIPEN 500 MG/62,5 MG/100 MG POUDRE POUR SUPENSION BUVABLE EN SACHET-DOSE BOITE DE 24"	SOTHEMA	6118000023739
Groupe générique : AMOXICILLINE ANHYDRE // ACIDE CLAVULANIQUE 1 G / 125 MG POUDRE POUR SUSPENSION BUVABLE	ORALE	G	IBERTIN 1 G / 125 MG POUDRE POUR SUSPENSION BUVABLE BOITE DE 12 SACHETS DOSE	IBERMA	6118000230533
Groupe générique : AMOXICILLINE ANHYDRE // ACIDE CLAVULANIQUE 1 G / 125 MG POUDRE POUR SUSPENSION BUVABLE	ORALE	G	IBERTIN 1 G / 125 MG POUDRE POUR SUSPENSION BUVABLE BOITE DE 16 SACHETS DOSE	IBERMA	6118000230557
Groupe générique : AMOXICILLINE ANHYDRE // ACIDE CLAVULANIQUE 1 G / 125 MG POUDRE POUR SUSPENSION BUVABLE	ORALE	G	IBERTIN 1 G / 125 MG POUDRE POUR SUSPENSION BUVABLE BOITE DE 24 SACHETS DOSE	IBERMA	6118000230564
Groupe générique : AMOXICILLINE TRIHYDRATEE 1 G POUDRE POUR SUSPENSION BUVABLE	ORALE	G	ALFAMOX 1 G POUDRE POUR SUSPENSION BUVABLE BOITE DE 16 SACHETS	PHARMA 5	-
Groupe générique : AMOXICILLINE TRIHYDRATEE 1 G POUDRE POUR SUSPENSION BUVABLE	ORALE	G	ALFAMOX 1 G POUDRE POUR SUSPENSION BUVABLE BOITE DE 24 SACHETS	PHARMA 5	6118000094838
Groupe générique : AMOXICILLINE TRIHYDRATEE // ACIDE CLAVULANIQUE 1 G / 125 MG POUDRE ORALE EN SACHETS	ORALE	G	BIOTIC PLUS 1 G / 125 MG POUDRE ORALE EN SACHETS BOITE DE 12	GALENICA	6118000191735
Groupe générique : AMOXICILLINE TRIHYDRATEE // ACIDE CLAVULANIQUE 1 G / 125 MG POUDRE ORALE EN SACHETS	ORALE	G	BIOTIC PLUS 1 G / 125 MG POUDRE ORALE EN SACHETS BOITE DE 16	GALENICA	6118000191742
"Groupe générique : AMOXICILLINE TRIHYDRATEE // CLAVALANATE DE POTASSIUM 100 MG / 12,5 MG POUDRE POUR SUSPENSION BUVABLE"	ORALE	G	"ECOCLAV ENFANT 100 MG / 12,5 MG POUDRE POUR SUSPENSION BUVABLE FLACON DE 60 ML"	PROMOPHARM	6118000242413
